company,title,link,status,date_applied
Airis Labs,Senior Product Manager ,https://www.linkedin.com/jobs/view/4076514219/?alternateChannel=search&refId=YKO1xxM8yQdC1lxzzLOa1w%3D%3D&trackingId=PAB2yW3edLtd6K8R3Li6Nw%3D%3D&trk=d_flagship3_search_srp_jobs,Applied ,2024-11-20
Timely,Director of Product Management ,https://www.linkedin.com/jobs/view/4067468865/?alternateChannel=search&refId=5A073MxGtRJRu0nrywW%2BQA%3D%3D&trackingId=MWQCfs63bXeHwtyD9hgl9A%3D%3D,Rjected,2024-11-20
AT&T,,,Applied ,2024-11-20
StarGo,,,"Got interview , Rejected ",2024-11-20
Axonius,Senior Product Manager ,https://www.linkedin.com/jobs/view/4069330705/?eBP=CwEAAAGTxBolO15Q_g1pUd6UekKa_MS1SxzwN-ihsmW40qBvK3IlJcBDA4Rphq8iDLFRTGA3-72Rc6WARchXkSC-tdL0SCejPA1ogeYk9xgwhsSKgEm43s37NgKSKsiwMhMvnIMqLXinFFk_w390DeZLbNRSt3NbY2jxxAWDG6AO0cHn3I2tZPjL2UE82qL2B3uYXasaNpj2SYh2d_IN5JvZ4Y4ztCg1GCl6VVEX3WJM4SUI9kDn6rX2kXRjMat8EPoHSD77d7r8oVltUpTCpN5ENLawrdmUZwn-axTW0avp_4LwsKPJqCeo70c-4AlwxcoZbkVSXBppjh7837QPZEn59U1g4ggrfAFoXIyz49_1YafnHsuLa8ZidvUZ2k7jW-lXq98OdmrCkMzq-zUMoQoJTXyBvppWCDd6hWLKbo764GjhBqy5tLg94n-q3BB2BoUGknbYvitepjZlf_O_WFpRZ1DpcON6-VKAg-jdBE7uOR1g4xPE7V1inO0CrAdsqABsQiRYJrPYOWU&refId=5%2BE%2Fwdzzq%2FGC2LUKyPy3ZQ%3D%3D&trackingId=iXC6R6uFZv7kkq6CK0G1RA%3D%3D&trk=flagship3_search_srp_jobs,No Reply ,2024-12-14
TheTaRay,Senior Product manager ,https://www.linkedin.com/jobs/view/4092597221/?alternateChannel=search&refId=J%2F%2BAJWAAihOT1%2FRdGojLbw%3D%3D&trackingId=CcMySnVAIrTDwUE1Iao%2Faw%3D%3D,Applied ,2024-12-14
Imubit,Senior Product manager ,https://www.linkedin.com/jobs/view/4094963532/?alternateChannel=search&refId=hhU0wXy7s2Qb0eod0elG2w%3D%3D&trackingId=zjOkOAyEC765%2BFwZZM7SZg%3D%3D,Applied ,2024-12-14
mavens,Senior Product manager ,https://job-boards.greenhouse.io/mavenscareers/jobs/5381531004?gh_src=503a64f04us,Rejected ,2024-12-14
Gong ,Senior Product manager ,https://www.linkedin.com/jobs/view/4077372571/?eBP=CwEAAAGTxolQRNO8sF-_6j_eMvRnUcOhhsgd2_Hj9DuEPKT01CVJtBBd6XwXsK7WNRLuOFLzxF3e3eYgyrJE9H2V7i8qFEzZ7KbRJQMbo5qTsr5OstJeLxPVCdDi0xTMV1IHeMGn0_Dowd_q0E0dIrdk5wBTJvR9LgBtYviR-pLrFcAIU6h5UKslAr4DpmSBk7ZSToOleudks3GHcp6dkiJkSV8tlWfjFG9UE2fMZC9WCIuGIfTLemxttAAWEq6WNxToHVxSsmF82AFcLLpBd4jR1ccRBLbfrB-K5kws6OZK6GGEJKAJ_Rc_2GhtIYo4WHLi6ipgtIP4GgVkjxos5Ps3SOBAv60kj2SFrsNgnyoMc-Pj6Wg0OcEqc2upOtN5fopyQKb9jYUf8vkjfeiZqH-CuE4pLdWK1_4qG9HebjZssdG8rqGwbVJQxVIc2q0T2t0yx6ew9mxjORiYer0yASKZ3lEgI4TwJ84T7eNbUj7A2sa0AyeBxjbdGt44TxJujXrcvao&refId=B4nqna21VHyCoq365A34jw%3D%3D&trackingId=nYN8hd%2B5hAs3NK4Qv6cbHg%3D%3D&trk=flagship3_search_srp_jobs,Applied ,2024-12-14
Sett,Senior Product Manager ,https://www.linkedin.com/jobs/view/4103888734/?refId=cdccf15c-9220-4ee0-9624-1e7e4f48b5c7&trackingId=JQ4WJLVhR2CAweiYQmiViw%3D%3D,Applied ,2024-12-24
